year,date,stage,stadium,city,home_team_name,home_team_goals,away_team_goals,away_team_name,attendance,half-time_home_goals,half-time_away_goals,roundid,matchid
1930,1930-07-13,Group 1,Pocitos,Montevideo,France,4,1,Mexico,4444,3,0,201,1096
1930,1930-07-13,Group 4,Parque Central,Montevideo,USA,3,0,Belgium,18346,2,0,201,1090
1930,1930-07-14,Group 2,Parque Central,Montevideo,Yugoslavia,2,1,Brazil,24059,2,0,201,1093
1930,1930-07-14,Group 3,Pocitos,Montevideo,Romania,3,1,Peru,2549,1,0,201,1098
1930,1930-07-15,Group 1,Parque Central,Montevideo,Argentina,1,0,France,23409,0,0,201,1085
1930,1930-07-16,Group 1,Parque Central,Montevideo,Chile,3,0,Mexico,9249,1,0,201,1095
1930,1930-07-17,Group 2,Parque Central,Montevideo,Yugoslavia,4,0,Bolivia,18306,0,0,201,1092
1930,1930-07-17,Group 4,Parque Central,Montevideo,USA,3,0,Paraguay,18306,2,0,201,1097
1930,1930-07-18,Group 3,Estadio Centenario,Montevideo,Uruguay,1,0,Peru,57735,0,0,201,1099
1930,1930-07-19,Group 1,Estadio Centenario,Montevideo,Chile,1,0,France,2000,0,0,201,1094
1930,1930-07-19,Group 1,Estadio Centenario,Montevideo,Argentina,6,3,Mexico,42100,3,1,201,1086
1930,1930-07-20,Group 2,Estadio Centenario,Montevideo,Brazil,4,0,Bolivia,25466,1,0,201,1091
1930,1930-07-20,Group 4,Estadio Centenario,Montevideo,Paraguay,1,0,Belgium,12000,1,0,201,1089
1930,1930-07-21,Group 3,Estadio Centenario,Montevideo,Uruguay,4,0,Romania,70022,4,0,201,1100
1930,1930-07-22,Group 1,Estadio Centenario,Montevideo,Argentina,3,1,Chile,41459,2,1,201,1084
1930,1930-07-26,Semi-finals,Estadio Centenario,Montevideo,Argentina,6,1,USA,72886,1,0,202,1088
1930,1930-07-27,Semi-finals,Estadio Centenario,Montevideo,Uruguay,6,1,Yugoslavia,79867,3,1,202,1101
1930,1930-07-30,Final,Estadio Centenario,Montevideo,Uruguay,4,2,Argentina,68346,1,2,405,1087
1934,1934-05-27,Preliminary round,Stadio Benito Mussolini,Turin,Austria,3,2,France,16000,0,0,204,1104
1934,1934-05-27,Preliminary round,Giorgio Ascarelli,Naples,Hungary,4,2,Egypt,9000,2,2,204,1119
1934,1934-05-27,Preliminary round,San Siro,Milan,Switzerland,3,2,Netherlands,33000,2,1,204,1133
1934,1934-05-27,Preliminary round,Littorale,Bologna,Sweden,3,2,Argentina,14000,1,1,204,1102
1934,1934-05-27,Preliminary round,Giovanni Berta,Florence,Germany,5,2,Belgium,8000,1,2,204,1108
1934,1934-05-27,Preliminary round,Luigi Ferraris,Genoa,Spain,3,1,Brazil,21000,3,0,204,1111
1934,1934-05-27,Preliminary round,Nazionale PNF,Rome,Italy,7,1,USA,25000,3,0,204,1135
1934,1934-05-27,Preliminary round,Littorio,Trieste,Czechoslovakia,2,1,Romania,9000,0,1,204,1141
1934,1934-05-31,Quarter-finals,Stadio Benito Mussolini,Turin,Czechoslovakia,3,2,Switzerland,12000,1,1,418,1143
1934,1934-05-31,Quarter-finals,San Siro,Milan,Germany,2,1,Sweden,3000,0,0,418,1129
1934,1934-05-31,Quarter-finals,Giovanni Berta,Florence,Italy,1,1,Spain,35000,0,0,418,1122
1934,1934-05-31,Quarter-finals,Littorale,Bologna,Austria,2,1,Hungary,23000,1,0,418,1106
1934,1934-06-01,Quarter-finals,Giovanni Berta,Florence,Italy,1,0,Spain,43000,1,0,418,1123
1934,1934-06-03,Semi-finals,San Siro,Milan,Italy,1,0,Austria,35000,1,0,3492,1107
1934,1934-06-03,Semi-finals,Nazionale PNF,Rome,Czechoslovakia,3,1,Germany,15000,1,0,3492,1130
1934,1934-06-07,Match for third place,Giorgio Ascarelli,Naples,Germany,3,2,Austria,7000,3,1,3491,1105
1934,1934-06-10,Final,Nazionale PNF,Rome,Italy,2,1,Czechoslovakia,55000,0,0,3490,1134
1938,1938-06-04,First round,Parc des Princes,Paris,Switzerland,1,1,Germany,27152,0,0,206,1165
1938,1938-06-05,First round,Velodrome Municipale,Reims,Hungary,6,0,Dutch East Indies,9000,4,0,206,1173
1938,1938-06-05,First round,Stade Olympique,Colombes,France,3,1,Belgium,30454,2,1,206,1146
1938,1938-06-05,First round,Stade Municipal,Toulouse,Cuba,3,3,Romania,7000,0,0,206,1156
1938,1938-06-05,First round,Stade V�lodrome,Marseilles,Italy,2,1,Norway,19000,0,0,206,1179
1938,1938-06-05,First round,Stade de la Meinau,Strasbourg,Brazil,6,5,Poland,13452,0,0,206,1150
1938,1938-06-05,First round,Cavee Verte,Le Havre,Czechoslovakia,3,0,Netherlands,11000,0,0,206,1172
1938,1938-06-09,First round,Stade Municipal,Toulouse,Cuba,2,1,Romania,8000,0,1,206,1157
1938,1938-06-09,First round,Parc des Princes,Paris,Switzerland,4,2,Germany,20025,1,2,206,1166
1938,1938-06-12,Quarter-finals,Stade du Parc Lescure,Bordeaux,Brazil,1,1,Czechoslovakia,22021,0,0,429,1152
1938,1938-06-12,Quarter-finals,Victor Boucquey,Lille,Hungary,2,0,Switzerland,15000,1,0,429,1175
1938,1938-06-12,Quarter-finals,Fort Carree,Antibes,Sweden,8,0,Cuba,7000,4,0,429,1158
1938,1938-06-12,Quarter-finals,Stade Olympique,Colombes,Italy,3,1,France,58455,1,1,429,1164
1938,1938-06-14,Quarter-finals,Stade du Parc Lescure,Bordeaux,Brazil,2,1,Czechoslovakia,18141,0,1,429,1153
1938,1938-06-16,Semi-finals,Parc des Princes,Paris,Hungary,5,1,Sweden,20000,3,1,3489,1176
1938,1938-06-16,Semi-finals,Stade V�lodrome,Marseilles,Italy,2,1,Brazil,33000,0,0,3489,1149
1938,1938-06-19,Match for third place,Stade du Parc Lescure,Bordeaux,Brazil,4,2,Sweden,12000,1,2,3488,1151
1938,1938-06-19,Final,Stade Olympique,Colombes,Italy,4,2,Hungary,45000,3,1,3487,1174
1950,1950-06-24,Group 1,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro,Brazil,4,0,Mexico,81649,1,0,208,1187
1950,1950-06-25,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro,England,2,0,Chile,29703,1,0,208,1192
1950,1950-06-25,Group 2,Durival de Brito,Curitiba,Spain,3,1,USA,9511,0,1,208,1208
1950,1950-06-25,Group 3,Pacaembu,Sao Paulo,Sweden,3,2,Italy,36502,2,1,208,1219
1950,1950-06-25,Group 1,Independencia,Belo Horizonte,Yugoslavia,3,0,Switzerland,7336,0,0,208,1230
1950,1950-06-28,Group 1,Pacaembu,Sao Paulo,Brazil,2,2,Switzerland,42032,2,1,208,1188
1950,1950-06-28,Group 1,Eucaliptos,Porto Alegre,Yugoslavia,4,1,Mexico,11078,2,0,208,1225
1950,1950-06-29,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro,Spain,2,0,Chile,19790,2,0,208,1193
1950,1950-06-29,Group 3,Durival de Brito,Curitiba,Sweden,2,2,Paraguay,7903,2,1,208,1228
1950,1950-06-29,Group 2,Independencia,Belo Horizonte,USA,1,0,England,10151,1,0,208,1202
1950,1950-07-01,Group 1,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro,Brazil,2,0,Yugoslavia,142429,1,0,208,1191
1950,1950-07-02,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro,Spain,1,0,England,74462,0,0,208,1199
1950,1950-07-02,Group 3,Pacaembu,Sao Paulo,Italy,2,0,Paraguay,25811,1,0,208,1218
1950,1950-07-02,Group 4,Independencia,Belo Horizonte,Uruguay,8,0,Bolivia,5284,4,0,208,1185
1950,1950-07-02,Group 1,Eucaliptos,Porto Alegre,Switzerland,2,1,Mexico,3580,2,0,208,1222
1950,1950-07-02,Group 2,Ilha do Retiro,Recife,Chile,5,2,USA,8501,2,0,208,1194
1950,1950-07-09,Group 6,Pacaembu,Sao Paulo,Uruguay,2,2,Spain,44802,1,2,209,1207
1950,1950-07-09,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro,Brazil,7,1,Sweden,138886,3,0,209,1189
1950,1950-07-13,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro,Brazil,6,1,Spain,152772,3,0,209,1186
1950,1950-07-13,Group 6,Pacaembu,Sao Paulo,Uruguay,3,2,Sweden,7987,1,2,209,1231
1950,1950-07-16,Group 6,Pacaembu,Sao Paulo,Sweden,3,1,Spain,11227,2,0,209,1206
1950,1950-07-16,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro,Uruguay,2,1,Brazil,173850,0,0,209,1190
1954,1954-06-16,Group 3,Wankdorf Stadium,Berne,Uruguay,2,0,Czechoslovakia,20500,0,0,211,1315
1954,1954-06-16,Group 3,Hardturm,Zurich,Austria,1,0,Scotland,25000,1,0,211,1236
1954,1954-06-16,Group 1,Charmilles,Geneva,Brazil,5,0,Mexico,13470,4,0,211,1249
1954,1954-06-16,Group 1,La Pontaise,Lausanne,Yugoslavia,1,0,France,16000,1,0,211,1276
1954,1954-06-17,Group 2,Wankdorf Stadium,Berne,Germany FR,4,1,Turkey,28000,1,1,211,1283
1954,1954-06-17,Group 2,Hardturm,Zurich,Hungary,9,0,Korea Republic,13000,4,0,211,1294
1954,1954-06-17,Group 4,St. Jakob,Basel,England,4,4,Belgium,14000,0,0,211,1240
1954,1954-06-17,Group 4,La Pontaise,Lausanne,Switzerland,2,1,Italy,43000,1,1,211,1300
1954,1954-06-19,Group 3,St. Jakob,Basel,Uruguay,7,0,Scotland,34000,2,0,211,1313
